"date_start","country_territory_area","Mask","Business","Gathering","School","Movement","Travel","Binary","Ordinal"
2020-07-29,"China",NA,NA,NA,NA,NA,NA,0,4
2020-07-30,"China",NA,NA,NA,NA,NA,NA,0,2
2020-07-31,"China",NA,47,NA,NA,NA,NA,0,2
2020-08-01,"China",NA,NA,NA,NA,NA,100,0,6
2020-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-04,"China",NA,NA,NA,NA,NA,NA,0,1
2020-08-05,"China",NA,NA,NA,NA,NA,NA,0,3
2020-08-06,"China",NA,NA,NA,NA,NA,100,0,6
2020-08-07,"China",NA,NA,NA,25,NA,NA,1,1
2020-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-10,"China",NA,NA,NA,NA,20,NA,0,2
2020-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-12,"China",NA,NA,NA,NA,NA,NA,1,2
2020-08-13,"China",NA,NA,NA,NA,NA,NA,1,6
2020-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-15,"China",NA,NA,NA,25,NA,NA,1,1
2020-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-19,"China",NA,NA,NA,NA,NA,100,1,6
2020-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-21,"China",NA,NA,NA,NA,NA,NA,0,1
2020-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-23,"China",NA,NA,NA,NA,NA,NA,0,2
2020-08-24,"China",NA,NA,NA,NA,NA,100,0,6
2020-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
